2023-09-29 14:27:49,810 INFO    MainThread:28110 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_setup.py:_flush():76] Configure stats pid to 28110
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_setup.py:_flush():76] Loading settings from /Users/anuragkumar/.config/wandb/settings
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_setup.py:_flush():76] Loading settings from /Users/anuragkumar/Anurag/CMGAN/src/wandb/settings
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/train.py', 'program_abspath': '/Users/anuragkumar/Anurag/CMGAN/src/train.py', 'program': '/Users/anuragkumar/Anurag/CMGAN/src/train.py'}
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_init.py:_log_setup():528] Logging user logs to /Users/anuragkumar/Anurag/CMGAN/src/wandb/run-20230929_142749-z737uga8/logs/debug.log
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/anuragkumar/Anurag/CMGAN/src/wandb/run-20230929_142749-z737uga8/logs/debug-internal.log
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_init.py:init():568] calling init triggers
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_init.py:init():618] starting backend
2023-09-29 14:27:49,811 INFO    MainThread:28110 [wandb_init.py:init():622] setting up manager
2023-09-29 14:27:49,812 INFO    MainThread:28110 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-09-29 14:27:49,814 INFO    MainThread:28110 [wandb_init.py:init():628] backend started and connected
2023-09-29 14:27:49,816 INFO    MainThread:28110 [wandb_init.py:init():720] updated telemetry
2023-09-29 14:27:49,827 INFO    MainThread:28110 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-09-29 14:27:50,617 INFO    MainThread:28110 [wandb_run.py:_on_init():2220] communicating current version
2023-09-29 14:27:50,846 INFO    MainThread:28110 [wandb_run.py:_on_init():2229] got version response 
2023-09-29 14:27:50,846 INFO    MainThread:28110 [wandb_init.py:init():804] starting run threads in backend
2023-09-29 14:27:53,911 INFO    MainThread:28110 [wandb_run.py:_console_start():2199] atexit reg
2023-09-29 14:27:53,911 INFO    MainThread:28110 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-29 14:27:53,911 INFO    MainThread:28110 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-29 14:27:53,912 INFO    MainThread:28110 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-29 14:27:53,912 INFO    MainThread:28110 [wandb_init.py:init():845] run started, returning control to user process
2023-09-29 14:30:18,016 WARNING MsgRouterThr:28110 [router.py:message_loop():77] message_loop has been closed
