2023-09-29 21:42:07,735 INFO    MainThread:32349 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_setup.py:_flush():76] Configure stats pid to 32349
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_setup.py:_flush():76] Loading settings from /Users/anuragkumar/.config/wandb/settings
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_setup.py:_flush():76] Loading settings from /Users/anuragkumar/Anurag/CMGAN/src/wandb/settings
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/train.py', 'program_abspath': '/Users/anuragkumar/Anurag/CMGAN/src/train.py', 'program': '/Users/anuragkumar/Anurag/CMGAN/src/train.py'}
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_init.py:_log_setup():528] Logging user logs to /Users/anuragkumar/Anurag/CMGAN/src/wandb/run-20230929_214207-168n2nsg/logs/debug.log
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/anuragkumar/Anurag/CMGAN/src/wandb/run-20230929_214207-168n2nsg/logs/debug-internal.log
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_init.py:init():568] calling init triggers
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_init.py:init():618] starting backend
2023-09-29 21:42:07,736 INFO    MainThread:32349 [wandb_init.py:init():622] setting up manager
2023-09-29 21:42:07,737 INFO    MainThread:32349 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-09-29 21:42:07,738 INFO    MainThread:32349 [wandb_init.py:init():628] backend started and connected
2023-09-29 21:42:07,740 INFO    MainThread:32349 [wandb_init.py:init():720] updated telemetry
2023-09-29 21:42:07,753 INFO    MainThread:32349 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-09-29 21:42:08,072 INFO    MainThread:32349 [wandb_run.py:_on_init():2220] communicating current version
2023-09-29 21:42:08,454 INFO    MainThread:32349 [wandb_run.py:_on_init():2229] got version response 
2023-09-29 21:42:08,454 INFO    MainThread:32349 [wandb_init.py:init():804] starting run threads in backend
2023-09-29 21:42:10,404 INFO    MainThread:32349 [wandb_run.py:_console_start():2199] atexit reg
2023-09-29 21:42:10,404 INFO    MainThread:32349 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-29 21:42:10,404 INFO    MainThread:32349 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-29 21:42:10,404 INFO    MainThread:32349 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-29 21:42:10,405 INFO    MainThread:32349 [wandb_init.py:init():845] run started, returning control to user process
2023-09-29 21:42:23,414 WARNING MsgRouterThr:32349 [router.py:message_loop():77] message_loop has been closed
